CPU,Memory,Disk,DiskType,InnoDB,Warehouse,Connections,TpmC,Cost,Cost Performance Ratio,IdleL,IdleR,System,Platform,Region,Zone,Provider,Load Avg Utl,Run Avg Utl
4,15,10,1,1024,1,10,14087,98.79,0.007,72,12.6,C,GCP,Iowa,us-central1-a,Google,28,87.4
8,30,10,1,16,1,10,1550,195.88,0.1264,85.7,91.9,D,GCP,Iowa,us-central1-a,Google,14.3,8.1
8,30,10,1,32,1,10,3545,195.88,0.0553,85.3,85.3,D,GCP,Iowa,us-central1-a,Google,14.7,14.7
8,30,10,1,64,1,10,8917,195.88,0.022,85.8,67.7,D,GCP,Iowa,us-central1-a,Google,14.2,32.3
8,30,10,1,128,1,10,19211,195.88,0.0102,84.9,36.8,D,GCP,Iowa,us-central1-a,Google,15.1,63.2
8,30,10,1,256,1,10,19618,195.88,0.01,85.2,35.3,D,GCP,Iowa,us-central1-a,Google,14.8,64.7
8,30,10,1,512,1,10,19450,195.88,0.0101,85.8,34.7,D,GCP,Iowa,us-central1-a,Google,14.2,65.3
8,30,10,1,1024,1,10,19553,195.88,0.01,85.2,35.2,D,GCP,Iowa,us-central1-a,Google,14.8,64.8
1,3.75,10,1,16,5,10,1297,25.97,0.02,7.9,71.7,A,GCP,Iowa,us-central1-a,Google,92.1,28.3
1,3.75,10,1,32,5,10,1900,25.97,0.0137,6.4,60.2,A,GCP,Iowa,us-central1-a,Google,93.6,39.8
1,3.75,10,1,64,5,10,2906,25.97,0.0089,7.3,43.5,A,GCP,Iowa,us-central1-a,Google,92.7,56.5
1,3.75,10,1,128,5,10,4753,25.97,0.0055,7.7,22.7,A,GCP,Iowa,us-central1-a,Google,92.3,77.3
1,3.75,10,1,256,5,10,6344,25.97,0.0041,6.6,6.3,A,GCP,Iowa,us-central1-a,Google,93.4,93.7
1,3.75,10,1,512,5,10,6579,25.97,0.0039,6.3,2.8,A,GCP,Iowa,us-central1-a,Google,93.7,97.2
1,3.75,10,1,1024,5,10,6772,25.97,0.0038,6.9,2.4,A,GCP,Iowa,us-central1-a,Google,93.1,97.6
2,7.5,10,1,16,5,10,1216,50.24,0.0413,42.8,75.4,B,GCP,Iowa,us-central1-a,Google,57.2,24.6
2,7.5,10,1,32,5,10,1868,50.24,0.0269,43.3,65.9,B,GCP,Iowa,us-central1-a,Google,56.7,34.1
2,7.5,10,1,64,5,10,3135,50.24,0.016,44.1,53,B,GCP,Iowa,us-central1-a,Google,55.9,47
2,7.5,10,1,128,5,10,5267,50.24,0.0095,43.8,30.2,B,GCP,Iowa,us-central1-a,Google,56.2,69.8
2,7.5,10,1,256,5,10,8197,50.24,0.0061,43,5.9,B,GCP,Iowa,us-central1-a,Google,57,94.1
2,7.5,10,1,512,5,10,8621,50.24,0.0058,43.5,2.5,B,GCP,Iowa,us-central1-a,Google,56.5,97.5
2,7.5,10,1,1024,5,10,8755,50.24,0.0057,43.1,2.6,B,GCP,Iowa,us-central1-a,Google,56.9,97.4
4,15,10,1,16,5,10,1187,98.79,0.0832,72.7,86.8,C,GCP,Iowa,us-central1-a,Google,27.3,13.2
4,15,10,1,32,5,10,1829,98.79,0.054,72.1,82.2,C,GCP,Iowa,us-central1-a,Google,27.9,17.8
4,15,10,1,64,5,10,2996,98.79,0.033,71.6,76.4,C,GCP,Iowa,us-central1-a,Google,28.4,23.6
4,15,10,1,128,5,10,5414,98.79,0.0182,72.9,60.2,C,GCP,Iowa,us-central1-a,Google,27.1,39.8
4,15,10,1,256,5,10,9386,98.79,0.0105,73.1,40.7,C,GCP,Iowa,us-central1-a,Google,26.9,59.3
4,15,10,1,512,5,10,12267,98.79,0.0081,72,5.7,C,GCP,Iowa,us-central1-a,Google,28,94.3
4,15,10,1,1024,5,10,12147,98.79,0.0081,72.2,6.1,C,GCP,Iowa,us-central1-a,Google,27.8,93.9
8,30,10,1,16,5,10,1167,195.88,0.1678,84.8,91.5,D,GCP,Iowa,us-central1-a,Google,15.2,8.5
8,30,10,1,32,5,10,1801,195.88,0.1088,85.3,86.6,D,GCP,Iowa,us-central1-a,Google,14.7,13.4
8,30,10,1,64,5,10,2910,195.88,0.0673,85.1,80.7,D,GCP,Iowa,us-central1-a,Google,14.9,19.3
8,30,10,1,128,5,10,5407,195.88,0.0362,86,70.8,D,GCP,Iowa,us-central1-a,Google,14,29.2
8,30,10,1,256,5,10,9506,195.88,0.0206,84.8,56.4,D,GCP,Iowa,us-central1-a,Google,15.2,43.6
8,30,10,1,512,5,10,12559,195.88,0.0156,85,28.8,D,GCP,Iowa,us-central1-a,Google,15,71.2
8,30,10,1,1024,5,10,12338,195.88,0.0159,85.2,26.3,D,GCP,Iowa,us-central1-a,Google,14.8,73.7
1,3.75,500,1,16,1,10,2659,109.27,0.0411,7.7,28.5,A,GCP,Iowa,us-central1-a,Google,92.3,71.5
1,3.75,500,1,32,1,10,3742,109.27,0.0292,8.2,13.7,A,GCP,Iowa,us-central1-a,Google,91.8,86.3
1,3.75,500,1,64,1,10,4983,109.27,0.0219,6.6,7.9,A,GCP,Iowa,us-central1-a,Google,93.4,92.1
1,3.75,500,1,128,1,10,5409,109.27,0.0202,6.3,3.6,A,GCP,Iowa,us-central1-a,Google,93.7,96.4
1,3.75,500,1,256,1,10,5458,109.27,0.02,7.5,3,A,GCP,Iowa,us-central1-a,Google,92.5,97
1,3.75,500,1,512,1,10,5488,109.27,0.0199,7.1,3.2,A,GCP,Iowa,us-central1-a,Google,92.9,96.8
1,3.75,500,1,1024,1,10,5456,109.27,0.02,6.9,2.7,A,GCP,Iowa,us-central1-a,Google,93.1,97.3
2,7.5,500,1,16,1,10,3979,133.54,0.0336,43.4,30.8,B,GCP,Iowa,us-central1-a,Google,56.6,69.2
2,7.5,500,1,32,1,10,5724,133.54,0.0233,43.6,18.7,B,GCP,Iowa,us-central1-a,Google,56.4,81.3
2,7.5,500,1,64,1,10,7499,133.54,0.0178,43.1,7.9,B,GCP,Iowa,us-central1-a,Google,56.9,92.1
2,7.5,500,1,128,1,10,8444,133.54,0.0158,43,3.3,B,GCP,Iowa,us-central1-a,Google,57,96.7
2,7.5,500,1,256,1,10,8569,133.54,0.0156,43.9,2.9,B,GCP,Iowa,us-central1-a,Google,56.1,97.1
2,7.5,500,1,512,1,10,8562,133.54,0.0156,42.8,3.4,B,GCP,Iowa,us-central1-a,Google,57.2,96.6
2,7.5,500,1,1024,1,10,8479,133.54,0.0157,43.1,3.1,B,GCP,Iowa,us-central1-a,Google,56.9,96.9
4,15,500,1,16,1,10,4903,182.09,0.0371,70.7,48.6,C,GCP,Iowa,us-central1-a,Google,29.3,51.4
4,15,500,1,32,1,10,7939,182.09,0.0229,70.3,30.5,C,GCP,Iowa,us-central1-a,Google,29.7,69.5
4,15,500,1,64,1,10,12035,182.09,0.0151,71.8,15.9,C,GCP,Iowa,us-central1-a,Google,28.2,84.1
4,15,500,1,128,1,10,14117,182.09,0.0129,70.2,12.1,C,GCP,Iowa,us-central1-a,Google,29.8,87.9
4,15,500,1,256,1,10,14459,182.09,0.0126,71.4,9.6,C,GCP,Iowa,us-central1-a,Google,28.6,90.4
4,15,500,1,512,1,10,14362,182.09,0.0127,70.9,11.3,C,GCP,Iowa,us-central1-a,Google,29.1,88.7
4,15,500,1,1024,1,10,14376,182.09,0.0127,71.5,10.7,C,GCP,Iowa,us-central1-a,Google,28.5,89.3
8,30,500,1,16,1,10,5607,279.18,0.0498,84.7,67.4,D,GCP,Iowa,us-central1-a,Google,15.3,32.6
8,30,500,1,32,1,10,9366,279.18,0.0298,85.6,56.1,D,GCP,Iowa,us-central1-a,Google,14.4,43.9
8,30,500,1,64,1,10,15696,279.18,0.0178,84.4,40.9,D,GCP,Iowa,us-central1-a,Google,15.6,59.1
8,30,500,1,128,1,10,18873,279.18,0.0148,85.5,36.6,D,GCP,Iowa,us-central1-a,Google,14.5,63.4
8,30,500,1,256,1,10,19355,279.18,0.0144,85.1,35.3,D,GCP,Iowa,us-central1-a,Google,14.9,64.7
8,30,500,1,512,1,10,19177,279.18,0.0146,85.3,35.7,D,GCP,Iowa,us-central1-a,Google,14.7,64.3
8,30,500,1,1024,1,10,19427,279.18,0.0144,84.5,34.2,D,GCP,Iowa,us-central1-a,Google,15.5,65.8
1,3.75,500,1,16,5,10,2917,109.27,0.0375,7.3,22.2,A,GCP,Iowa,us-central1-a,Google,92.7,77.8
1,3.75,500,1,32,5,10,3253,109.27,0.0336,6.9,17.7,A,GCP,Iowa,us-central1-a,Google,93.1,82.3
1,3.75,500,1,64,5,10,3805,109.27,0.0287,7.4,13.5,A,GCP,Iowa,us-central1-a,Google,92.6,86.5
1,3.75,500,1,128,5,10,4379,109.27,0.025,7.3,6.9,A,GCP,Iowa,us-central1-a,Google,92.7,93.1
1,3.75,500,1,256,5,10,4778,109.27,0.0229,7,3.1,A,GCP,Iowa,us-central1-a,Google,93,96.9
1,3.75,500,1,512,5,10,4992,109.27,0.0219,7.5,3.2,A,GCP,Iowa,us-central1-a,Google,92.5,96.8
1,3.75,500,1,1024,5,10,5058,109.27,0.0216,9.8,2.6,A,GCP,Iowa,us-central1-a,Google,90.2,97.4
2,7.5,500,1,16,5,10,4068,133.54,0.0328,42.6,28.9,B,GCP,Iowa,us-central1-a,Google,57.4,71.1
2,7.5,500,1,32,5,10,4807,133.54,0.0278,43,22.2,B,GCP,Iowa,us-central1-a,Google,57,77.8
2,7.5,500,1,64,5,10,5740,133.54,0.0233,42.3,15.5,B,GCP,Iowa,us-central1-a,Google,57.7,84.5
2,7.5,500,1,128,5,10,6935,133.54,0.0193,43.1,9,B,GCP,Iowa,us-central1-a,Google,56.9,91
2,7.5,500,1,256,5,10,7977,133.54,0.0167,43.7,3.2,B,GCP,Iowa,us-central1-a,Google,56.3,96.8
2,7.5,500,1,512,5,10,8513,133.54,0.0157,43.2,2.7,B,GCP,Iowa,us-central1-a,Google,56.8,97.3
2,7.5,500,1,1024,5,10,8645,133.54,0.0154,42.9,2.7,B,GCP,Iowa,us-central1-a,Google,57.1,97.3
4,15,500,1,16,5,10,5047,182.09,0.0361,72.5,47.8,C,GCP,Iowa,us-central1-a,Google,27.5,52.2
4,15,500,1,32,5,10,6601,182.09,0.0276,71.1,36.3,C,GCP,Iowa,us-central1-a,Google,28.9,63.7
4,15,500,1,64,5,10,8658,182.09,0.021,71.7,25.4,C,GCP,Iowa,us-central1-a,Google,28.3,74.6
4,15,500,1,128,5,10,11448,182.09,0.0159,70.4,13.9,C,GCP,Iowa,us-central1-a,Google,29.6,86.1
4,15,500,1,256,5,10,14005,182.09,0.013,71.9,8.3,C,GCP,Iowa,us-central1-a,Google,28.1,91.7
4,15,500,1,512,5,10,15329,182.09,0.0119,71.6,4.3,C,GCP,Iowa,us-central1-a,Google,28.4,95.7
4,15,500,1,1024,5,10,15695,182.09,0.0116,71.2,3.2,C,GCP,Iowa,us-central1-a,Google,28.8,96.8
8,30,500,1,16,5,10,6286,279.18,0.0444,84.8,68.2,D,GCP,Iowa,us-central1-a,Google,15.2,31.8
8,30,500,1,32,5,10,8728,279.18,0.032,84.3,59.8,D,GCP,Iowa,us-central1-a,Google,15.7,40.2
8,30,500,1,64,5,10,11381,279.18,0.0245,85.2,47.1,D,GCP,Iowa,us-central1-a,Google,14.8,52.9
8,30,500,1,128,5,10,16264,279.18,0.0172,85,29.7,D,GCP,Iowa,us-central1-a,Google,15,70.3
8,30,500,1,256,5,10,20890,279.18,0.0134,85.7,25.5,D,GCP,Iowa,us-central1-a,Google,14.3,74.5
8,30,500,1,512,5,10,22429,279.18,0.0124,84.2,21.1,D,GCP,Iowa,us-central1-a,Google,15.8,78.9
8,30,500,1,1024,5,10,23689,279.18,0.0118,85.5,22.4,D,GCP,Iowa,us-central1-a,Google,14.5,77.6
16,60,10,1,16,1,10,1510,390.06,0.2583,93.8,97.2,F,GCP,Iowa,us-central1-a,Google,6.2,2.8
16,60,10,1,32,1,10,3452,390.06,0.113,93.2,94.8,F,GCP,Iowa,us-central1-a,Google,6.8,5.2
16,60,10,1,64,1,10,9251,390.06,0.0422,93.7,88.7,F,GCP,Iowa,us-central1-a,Google,6.3,11.3
16,60,10,1,128,1,10,21761,390.06,0.0179,92.9,74.3,F,GCP,Iowa,us-central1-a,Google,7.1,25.7
16,60,10,1,256,1,10,23760,390.06,0.0164,93.5,72.4,F,GCP,Iowa,us-central1-a,Google,6.5,27.6
16,60,10,1,512,1,10,24026,390.06,0.0162,93,71.9,F,GCP,Iowa,us-central1-a,Google,7,28.1
16,60,10,1,1024,1,10,23012,390.06,0.017,93.1,72.8,F,GCP,Iowa,us-central1-a,Google,6.9,27.2
16,60,10,1,16,5,10,1155,390.06,0.3377,93.3,97.1,F,GCP,Iowa,us-central1-a,Google,6.7,2.9
16,60,10,1,32,5,10,1719,390.06,0.2269,93.9,96.4,F,GCP,Iowa,us-central1-a,Google,6.1,3.6
16,60,10,1,64,5,10,2794,390.06,0.1396,93.1,94.6,F,GCP,Iowa,us-central1-a,Google,6.9,5.4
16,60,10,1,128,5,10,5225,390.06,0.0747,93.5,92.1,F,GCP,Iowa,us-central1-a,Google,6.5,7.9
16,60,10,1,256,5,10,9228,390.06,0.0423,93.6,87.9,F,GCP,Iowa,us-central1-a,Google,6.4,12.1
16,60,10,1,512,5,10,12257,390.06,0.0318,93.4,83.9,F,GCP,Iowa,us-central1-a,Google,6.6,16.1
16,60,10,1,1024,5,10,12228,390.06,0.0319,93.2,84.3,F,GCP,Iowa,us-central1-a,Google,6.8,15.7
16,60,500,1,16,1,10,6149,473.36,0.077,93.8,87.7,F,GCP,Iowa,us-central1-a,Google,6.2,12.3
16,60,500,1,32,1,10,11218,473.36,0.0422,93.9,82.7,F,GCP,Iowa,us-central1-a,Google,6.1,17.3
16,60,500,1,64,1,10,18643,473.36,0.0254,93.3,75.6,F,GCP,Iowa,us-central1-a,Google,6.7,24.4
16,60,500,1,128,1,10,23433,473.36,0.0202,93.7,73.3,F,GCP,Iowa,us-central1-a,Google,6.3,26.7
16,60,500,1,256,1,10,24232,473.36,0.0195,93.5,72.6,F,GCP,Iowa,us-central1-a,Google,6.5,27.4
16,60,500,1,512,1,10,24047,473.36,0.0197,93.3,73.2,F,GCP,Iowa,us-central1-a,Google,6.7,26.8
16,60,500,1,1024,1,10,23497,473.36,0.0201,93.7,72.8,F,GCP,Iowa,us-central1-a,Google,6.3,27.2
16,60,500,1,16,5,10,7032,473.36,0.0673,93.5,86.8,F,GCP,Iowa,us-central1-a,Google,6.5,13.2
16,60,500,1,32,5,10,9862,473.36,0.048,93.3,85.3,F,GCP,Iowa,us-central1-a,Google,6.7,14.7
16,60,500,1,64,5,10,13296,473.36,0.0356,93.6,80.2,F,GCP,Iowa,us-central1-a,Google,6.4,19.8
16,60,500,1,128,5,10,19632,473.36,0.0241,93.1,73.8,F,GCP,Iowa,us-central1-a,Google,6.9,26.2
16,60,500,1,256,5,10,26142,473.36,0.0181,92.9,63.2,F,GCP,Iowa,us-central1-a,Google,7.1,36.8
16,60,500,1,512,5,10,29043,473.36,0.0163,93.9,58.3,F,GCP,Iowa,us-central1-a,Google,6.1,41.7
16,60,500,1,1024,5,10,30266,473.36,0.0156,92.8,57.5,F,GCP,Iowa,us-central1-a,Google,7.2,42.5
12,45,10,0,16,1,10,1458,306.06,0.2099,90.7,96.9,E,GCP,Iowa,us-central1-a,Google,9.3,3.1
12,45,10,0,32,1,10,3318,306.06,0.0922,91.3,92.5,E,GCP,Iowa,us-central1-a,Google,8.7,7.5
12,45,10,0,64,1,10,9974,306.06,0.0307,91.1,78.3,E,GCP,Iowa,us-central1-a,Google,8.9,21.7
12,45,10,0,128,1,10,22095,306.06,0.0139,91.5,58.4,E,GCP,Iowa,us-central1-a,Google,8.5,41.6
12,45,10,0,256,1,10,23182,306.06,0.0132,91.4,56.3,E,GCP,Iowa,us-central1-a,Google,8.6,43.7
12,45,10,0,512,1,10,23378,306.06,0.0131,90.7,56.7,E,GCP,Iowa,us-central1-a,Google,9.3,43.3
12,45,10,0,1024,1,10,23528,306.06,0.013,91.4,56.7,E,GCP,Iowa,us-central1-a,Google,8.6,44.8
12,45,10,0,16,5,10,872,306.06,0.351,91,97.4,E,GCP,Iowa,us-central1-a,Google,9,2.6
12,45,10,0,32,5,10,1182,306.06,0.2589,91.2,96.5,E,GCP,Iowa,us-central1-a,Google,8.8,3.5
12,45,10,0,64,5,10,1592,306.06,0.1922,91.4,95.9,E,GCP,Iowa,us-central1-a,Google,8.6,4.1
12,45,10,0,128,5,10,3421,306.06,0.0895,90.9,92.1,E,GCP,Iowa,us-central1-a,Google,9.1,7.9
12,45,10,0,256,5,10,8466,306.06,0.0362,91.1,83.6,E,GCP,Iowa,us-central1-a,Google,8.9,16.4
12,45,10,0,512,5,10,24776,306.06,0.0124,91.3,52.1,E,GCP,Iowa,us-central1-a,Google,8.7,47.9
12,45,10,0,1024,5,10,23651,306.06,0.0129,90.8,52.8,E,GCP,Iowa,us-central1-a,Google,9.2,47.2
12,45,500,0,16,1,10,3217,325.66,0.1012,91.4,92.2,E,GCP,Iowa,us-central1-a,Google,8.6,7.8
12,45,500,0,32,1,10,8176,325.66,0.0398,90.8,83.8,E,GCP,Iowa,us-central1-a,Google,9.2,16.2
12,45,500,0,64,1,10,14461,325.66,0.0225,91.3,74.4,E,GCP,Iowa,us-central1-a,Google,8.7,25.6
12,45,500,0,128,1,10,22189,325.66,0.0147,91.6,65.5,E,GCP,Iowa,us-central1-a,Google,8.4,34.5
12,45,500,0,256,1,10,23003,325.66,0.0142,90.7,64.2,E,GCP,Iowa,us-central1-a,Google,9.3,35.8
12,45,500,0,512,1,10,23071,325.66,0.0141,91.4,65.1,E,GCP,Iowa,us-central1-a,Google,8.6,34.9
12,45,500,0,1024,1,10,23060,325.66,0.0141,90.9,64.3,E,GCP,Iowa,us-central1-a,Google,9.1,35.7
12,45,500,0,16,5,10,2713,325.66,0.12,90.7,92.9,E,GCP,Iowa,us-central1-a,Google,9.3,7.1
12,45,500,0,32,5,10,3760,325.66,0.0866,91.2,90.8,E,GCP,Iowa,us-central1-a,Google,8.8,9.2
12,45,500,0,64,5,10,5554,325.66,0.0586,91.3,86.8,E,GCP,Iowa,us-central1-a,Google,8.7,13.2
12,45,500,0,128,5,10,10767,325.66,0.0302,91.1,75.2,E,GCP,Iowa,us-central1-a,Google,8.9,24.8
12,45,500,0,256,5,10,18414,325.66,0.0177,91.2,55.8,E,GCP,Iowa,us-central1-a,Google,8.8,44.2
12,45,500,0,512,5,10,25927,325.66,0.0126,90.8,46.6,E,GCP,Iowa,us-central1-a,Google,9.2,53.4
12,45,500,0,1024,5,10,27408,325.66,0.0119,91.4,43.3,E,GCP,Iowa,us-central1-a,Google,8.6,56.7
12,45,10,1,16,1,10,1536,307.36,0.2001,91.1,95.6,E,GCP,Iowa,us-central1-a,Google,8.9,4.4
12,45,10,1,32,1,10,3491,307.36,0.088,91.3,92.2,E,GCP,Iowa,us-central1-a,Google,8.7,7.8
12,45,10,1,64,1,10,9002,307.36,0.0341,90.9,81.3,E,GCP,Iowa,us-central1-a,Google,9.1,18.7
12,45,10,1,128,1,10,20680,307.36,0.0149,90.8,65.2,E,GCP,Iowa,us-central1-a,Google,9.2,34.8
12,45,10,1,256,1,10,21464,307.36,0.0143,91.2,64.1,E,GCP,Iowa,us-central1-a,Google,8.8,35.9
12,45,10,1,512,1,10,21606,307.36,0.0142,91.1,63.7,E,GCP,Iowa,us-central1-a,Google,8.9,36.3
12,45,10,1,1024,1,10,21663,307.36,0.0142,90.9,63.7,E,GCP,Iowa,us-central1-a,Google,9.1,36.6
12,45,10,1,16,5,10,1206,307.36,0.2549,91.3,95.4,E,GCP,Iowa,us-central1-a,Google,8.7,4.6
12,45,10,1,32,5,10,1837,307.36,0.1673,91.5,94.2,E,GCP,Iowa,us-central1-a,Google,8.5,5.8
12,45,10,1,64,5,10,3015,307.36,0.1019,90.8,92.4,E,GCP,Iowa,us-central1-a,Google,9.2,7.6
12,45,10,1,128,5,10,5435,307.36,0.0566,90.9,88.4,E,GCP,Iowa,us-central1-a,Google,9.1,11.6
12,45,10,1,256,5,10,9711,307.36,0.0317,91.2,79.2,E,GCP,Iowa,us-central1-a,Google,8.8,20.8
12,45,10,1,512,5,10,12711,307.36,0.0242,91.1,72.2,E,GCP,Iowa,us-central1-a,Google,8.9,27.8
12,45,10,1,1024,5,10,12503,307.36,0.0246,91.3,71.7,E,GCP,Iowa,us-central1-a,Google,8.7,28.3
12,45,500,1,16,1,10,5534,390.66,0.0706,91.2,85.3,E,GCP,Iowa,us-central1-a,Google,8.8,14.7
12,45,500,1,32,1,10,9415,390.66,0.0415,91.1,79.2,E,GCP,Iowa,us-central1-a,Google,8.9,20.8
12,45,500,1,64,1,10,15879,390.66,0.0246,90.8,72.2,E,GCP,Iowa,us-central1-a,Google,9.2,27.8
12,45,500,1,128,1,10,19823,390.66,0.0197,90.8,61.9,E,GCP,Iowa,us-central1-a,Google,9.2,38.1
12,45,500,1,256,1,10,20006,390.66,0.0195,91.4,62.4,E,GCP,Iowa,us-central1-a,Google,8.6,37.6
12,45,500,1,512,1,10,20428,390.66,0.0191,90.9,61.3,E,GCP,Iowa,us-central1-a,Google,9.1,38.7
12,45,500,1,1024,1,10,20971,390.66,0.0186,91.1,60.7,E,GCP,Iowa,us-central1-a,Google,8.9,39.3
12,45,500,1,16,5,10,6287,390.66,0.0621,91.3,84.1,E,GCP,Iowa,us-central1-a,Google,8.7,15.9
12,45,500,1,32,5,10,8870,390.66,0.044,91.1,81.6,E,GCP,Iowa,us-central1-a,Google,8.9,18.4
12,45,500,1,64,5,10,12111,390.66,0.0323,91.2,72.7,E,GCP,Iowa,us-central1-a,Google,8.8,27.3
12,45,500,1,128,5,10,17950,390.66,0.0218,90.9,64.8,E,GCP,Iowa,us-central1-a,Google,9.1,35.2
12,45,500,1,256,5,10,23970,390.66,0.0163,90.7,55.4,E,GCP,Iowa,us-central1-a,Google,9.3,44.6
12,45,500,1,512,5,10,26818,390.66,0.0146,90.9,47.3,E,GCP,Iowa,us-central1-a,Google,9.1,52.7
12,45,500,1,1024,5,10,28319,390.66,0.0138,90.3,40.9,E,GCP,Iowa,us-central1-a,Google,9.2,59.1